DATE,DEPTH,NO3
1979-03-12,100,1.5
1979-03-12,2700,2.3
1979-03-12,1000,1.5
1979-03-12,500,1.5
1979-03-12,1500,1.9
1979-03-12,2000,2.0
1979-04-04,2000,1.8
1979-04-04,2500,5.7
1979-04-04,1500,2.0
1979-04-04,100,3.5
1979-04-04,1000,2.0
1979-04-04,500,3.8
1979-04-19,100,10.7
1979-04-19,2000,4.0
1979-04-19,1500,4.3
1979-04-19,1000,4.1
1979-04-19,500,2.4
1979-04-19,2600,4.2
1979-07-09,1500,2.7
1979-07-09,2000,6.8
1979-07-09,100,2.1
1979-07-09,1000,2.4
1979-07-09,500,2.1
1979-07-09,2600,3.0
1979-08-15,2600,4.9
1979-08-15,500,1.5
1979-08-15,1500,1.7
1979-08-15,100,1.5
1979-08-15,2000,1.7
1979-08-15,1000,1.8
1979-09-02,1000,0.4
1979-09-02,1500,0.3
1979-09-02,500,0.6
1979-09-02,2800,0.4
1979-09-02,2500,0.2
1979-09-02,2000,0.2
1979-10-01,2600,4.1
1979-10-01,1000,0.4
1979-10-01,2000,0.4
1979-10-01,500,0.1
1979-10-01,100,0.4
1979-10-01,1500,2.2
1979-11-22,2600,4.6
1979-11-22,1500,2.5
1979-11-22,100,2.6
1979-11-22,2000,2.7
1979-11-22,1000,2.5
1979-11-22,500,2.4
1980-01-28,2000,13.0
1980-01-28,100,11.6
1980-01-28,1000,11.7
1980-01-28,500,11.7
1980-01-28,2500,13.0
1980-01-28,1500,12.6
1980-02-11,100,15.0
1980-02-11,2800,18.6
1980-03-24,2500,4.9
1980-03-24,2000,3.7
1980-03-24,100,4.2
1980-03-24,1500,4.1
1980-03-24,500,4.2
1980-03-24,1000,4.2
1980-05-05,2800,24.3
1980-05-05,100,0.7
1980-05-06,2000,1.7
1980-05-06,2600,1.7
1980-05-06,100,0.9
1980-05-06,500,0.5
1980-05-06,1500,0.9
1980-05-06,1000,0.4
1980-07-21,1000,0.3
1980-07-21,2000,0.6
1980-07-21,500,0.2
1980-07-21,2600,0.5
1980-07-21,1500,0.5
1980-07-21,100,0.3
1980-09-05,500,0.2
1980-09-05,2000,0.9
1980-09-05,2500,0.6
1980-09-05,1000,0.5
1980-09-05,1500,0.8
1980-09-05,2800,0.4
1980-09-22,1000,0.2
1980-09-22,1500,0.6
1980-09-22,2000,6.6
1980-09-22,2600,2.1
1980-09-22,500,0.2
1980-09-22,100,0.3
1980-11-24,100,6.4
1980-11-24,2900,0.8
1980-11-28,1500,6.5
1980-11-28,2500,6.6
1980-11-28,500,6.2
1980-11-28,100,6.5
1980-11-28,2000,6.6
1980-11-28,1000,6.4
1981-01-07,1000,12.4
1981-01-07,100,12.0
1981-01-07,1500,12.3
1981-01-07,2500,11.7
1981-01-07,500,12.2
1981-01-07,2000,12.1
1981-02-23,1000,18.0
1981-02-23,2000,17.7
1981-02-23,500,18.8
1981-02-23,2600,17.6
1981-02-23,1500,17.9
1981-02-23,100,18.3
1981-04-13,100,1.1
1981-04-13,1500,4.0
1981-04-13,2500,18.4
1981-04-13,1000,2.0
1981-04-13,500,1.0
1981-04-13,2000,7.5
1981-07-01,2000,7.8
1981-07-01,1500,4.9
1981-07-01,2600,8.1
1981-07-01,100,0.1
1981-07-01,1000,0.2
1981-07-01,500,0.2
1981-10-05,500,0.6
1981-10-05,2000,0.8
1981-10-05,2600,0.5
1981-10-05,1000,0.5
1981-10-05,1500,0.6
1981-10-05,100,3.6
1982-01-05,2600,0.8
1982-01-05,1500,1.6
1982-01-05,1000,1.2
1982-01-05,2000,1.6
1982-01-05,500,1.1
1982-01-05,100,1.2
1982-02-05,100,10.0
1982-02-05,2600,14.3
1982-04-13,500,0.5
1982-04-13,2000,10.2
1982-04-13,2500,13.1
1982-04-13,100,0.4
1982-04-13,1000,1.4
1982-04-13,1500,1.0
1982-05-14,2800,6.4
1982-05-14,100,1.4
1982-08-12,1000,0.2
1982-08-12,500,0.2
1982-08-12,2400,7.2
1982-08-12,2800,7.4
1982-08-12,100,0.1
1982-08-12,1500,0.4
1982-08-12,2000,6.6
1982-08-24,1000,0.6
1982-08-24,2000,2.0
1982-08-24,1500,1.7
1982-08-24,2500,2.3
1982-08-24,500,0.5
1982-08-24,100,0.6
1982-10-11,1000,0.3
1982-10-11,2500,1.2
1982-10-11,1500,0.3
1982-10-11,100,0.4
1982-10-11,500,0.2
1982-10-11,2000,0.3
1982-12-01,1000,2.9
1982-12-01,2500,2.6
1982-12-01,100,2.0
1982-12-01,2000,2.5
1982-12-01,1500,3.0
1982-12-01,500,2.0
1982-12-20,2700,9.3
1982-12-20,100,5.7
1983-08-28,1000,0.2
1983-08-28,100,0.1
1983-08-28,2000,0.2
1983-08-28,2400,3.3
1983-08-28,1500,0.2
1983-08-28,2800,0.3
1983-08-28,500,0.1
1985-04-09,200,
1985-04-09,2000,
1985-04-09,300,
1985-04-09,1000,
1985-04-09,500,
1985-04-09,1500,
1985-04-09,100,
1986-01-07,1000,8.4
1986-01-07,100,7.0
1986-01-07,2500,9.7
1986-01-07,500,8.6
1986-01-07,2000,10.0
1986-01-07,1500,8.7
1986-02-11,2000,12.8
1986-02-11,100,9.5
1986-02-11,500,9.6
1986-02-11,1000,9.6
1986-02-11,2600,12.4
1986-02-11,1500,9.3
1986-03-11,2000,16.6
1986-03-11,100,12.1
1986-03-11,500,11.1
1986-03-11,1500,19.9
1986-03-11,2600,19.9
1986-03-11,1000,16.4
1986-04-07,2000,3.4
1986-04-07,100,2.9
1986-04-07,1000,7.7
1986-04-07,2500,3.3
1986-04-07,500,3.1
1986-04-07,1500,4.0
1986-05-22,1000,0.1
1986-05-22,1500,1.5
1986-05-22,500,0.1
1986-05-22,100,0.1
1986-05-22,2000,2.3
1986-05-22,2500,3.6
1986-06-09,1000,3.2
1986-06-09,100,0.2
1986-06-09,500,0.1
1986-06-09,2500,3.9
1986-06-09,2000,5.4
1986-06-09,1500,0.1
1986-07-21,2500,3.2
1986-07-21,100,0.0
1986-07-21,2000,2.8
1986-07-21,500,0.1
1986-07-21,1500,0.4
1986-07-21,1000,0.1
1986-08-07,100,0.1
1986-08-07,500,0.1
1986-08-07,2000,0.1
1986-08-07,2400,3.6
1986-08-07,1500,0.1
1986-08-07,1000,0.1
1986-09-15,500,0.2
1986-09-15,2500,0.2
1986-09-15,1500,0.2
1986-09-15,2000,0.2
1986-09-15,1000,0.2
1986-09-15,100,0.2
1986-10-20,100,7.1
1986-10-20,500,8.7
1986-10-20,1000,8.3
1986-10-20,2400,13.5
1986-10-20,1500,11.7
1986-10-20,2000,5.5
1986-12-02,100,3.2
1986-12-02,1500,3.6
1986-12-02,500,3.0
1986-12-02,1000,3.2
1986-12-02,2500,4.0
1986-12-02,2000,3.8
1986-12-18,1500,0.0
1986-12-18,2000,6.0
1986-12-18,500,5.1
1986-12-18,2500,6.1
1986-12-18,100,4.2
1986-12-18,1000,0.0
1987-02-19,2500,9.5
1987-02-19,500,8.9
1987-02-19,1500,8.7
1987-02-19,100,8.8
1987-02-19,1000,8.9
1987-02-19,2000,9.1
1987-04-14,1000,0.7
1987-04-14,2000,2.2
1987-04-14,500,0.3
1987-04-14,2600,3.1
1987-04-14,1500,1.1
1987-04-14,100,2.4
1987-06-18,1000,0.1
1987-06-18,2000,1.2
1987-06-18,500,0.1
1987-06-18,100,0.1
1987-06-18,1500,0.9
1987-09-16,100,0.1
1987-09-16,2000,0.1
1987-09-16,2500,0.0
1987-09-16,1500,0.1
1987-09-16,500,0.1
1987-09-16,1000,0.1
1987-11-23,500,0.1
1987-11-23,2600,7.3
1987-11-23,2000,5.0
1987-11-23,1000,0.1
1987-11-23,1500,3.5
1987-11-23,100,0.1
1988-01-18,2000,9.1
