DATE,DEPTH,OXY
2012-04-10,500,355.3
2012-04-10,1000,351.4
2012-04-10,1500,332.3
2012-04-10,2000,316.9
2012-04-10,2500,301.6
2012-05-14,100,333.7
2012-05-14,500,338.5
2012-05-14,1000,336.0
2012-05-14,1500,317.1
2012-05-14,2000,258.3
2012-05-14,2500,249.2
2012-06-26,100,299.3
2012-06-26,500,297.1
2012-06-26,1000,288.2
2012-06-26,1500,264.1
2012-06-26,2000,207.9
2012-06-26,2500,148.4
2012-07-16,100,288.7
2012-07-16,500,283.5
2012-07-16,1000,267.7
2012-07-16,1500,234.5
2012-07-16,2000,95.3
2012-07-16,2500,82.9
2012-08-07,100,254.9
2012-08-07,500,229.2
2012-08-07,1000,177.2
2012-08-07,1500,156.6
2012-08-07,2000,129.1
2012-08-07,2500,76.7
2012-09-27,100,266.6
2012-09-27,500,251.7
2012-09-27,1000,101.6
2012-09-27,1500,82.5
2012-09-27,2000,74.8
2012-09-27,2500,51.3
2012-10-02,100,221.0
2012-10-02,500,217.1
2012-10-02,1000,203.5
2012-10-02,1500,130.5
2012-10-02,2000,23.9
2012-10-02,2500,55.0
2012-11-06,100,300.9
2012-11-06,500,302.8
2012-11-06,1000,290.8
2012-11-06,1500,258.8
2012-11-06,2000,119.7
2012-11-06,2500,95.8
2012-12-04,100,327.2
2012-12-04,500,268.2
2012-12-04,1000,276.8
2012-12-04,1500,264.3
2012-12-04,2000,206.8
2012-12-04,2500,198.9
2013-01-01,0,
2013-02-06,100,380.7
2013-02-06,500,380.7
2013-02-06,1000,379.2
2013-02-06,1500,365.1
2013-02-06,2000,284.8
2013-02-06,2500,249.8
2013-03-05,100,414.8
2013-03-05,500,410.3
2013-03-05,1000,386.8
2013-03-05,1500,337.2
2013-03-05,2000,268.9
2013-03-05,2500,223.3
2013-04-03,100,443.4
2013-04-03,500,433.5
2013-04-03,1000,422.1
2013-04-03,1500,412.1
2013-04-03,2000,399.7
2013-04-03,2500,393.4
2013-05-24,100,312.8
2013-05-24,500,328.0
2013-05-24,1000,327.4
2013-05-24,1500,347.0
2013-05-24,2000,230.0
2013-05-24,2500,163.2
2013-06-04,100,312.9
2013-06-04,500,312.9
2013-06-04,1000,314.0
2013-06-04,1500,313.7
2013-06-04,2000,278.9
2013-06-04,2500,172.5
2013-07-04,100,299.9
2013-07-04,500,295.2
2013-07-04,1000,208.7
2013-07-04,1500,190.2
2013-07-04,2000,188.8
2013-07-04,2500,184.5
2013-08-28,100,273.4
2013-08-28,500,267.7
2013-08-28,1000,246.7
2013-08-28,1500,226.0
2013-08-28,2000,134.5
2013-08-28,2500,49.0
2013-09-24,100,289.3
2013-09-24,500,288.5
2013-09-24,1000,246.7
2013-09-24,1500,239.4
2013-09-24,2000,109.5
2013-09-24,2500,27.1
2013-10-01,100,279.0
2013-10-01,500,262.9
2013-10-01,1000,248.0
2013-10-01,1500,68.5
2013-10-01,2000,37.1
2013-10-01,2500,9.8
2013-11-05,100,273.9
2013-11-05,500,273.7
2013-11-05,1000,267.0
2013-11-05,1500,239.7
2013-11-05,2000,238.2
2013-11-05,2500,239.2
2013-12-03,100,334.6
2013-12-03,500,334.4
2013-12-03,1000,327.2
2013-12-03,1500,238.7
2013-12-03,2000,162.5
2013-12-03,2500,151.1
2014-02-25,100,396.4
2014-02-25,500,392.3
2014-02-25,1000,371.7
2014-02-25,1500,356.1
2014-02-25,2000,318.9
2014-02-25,2500,311.0
2014-03-05,100,418.9
2014-03-05,500,359.6
2014-03-05,1000,333.4
2014-03-05,1500,345.8
2014-03-05,2000,326.2
2014-03-05,2500,301.6
2014-04-15,100,348.2
2014-04-15,500,349.2
2014-04-15,1000,347.4
2014-04-15,1500,345.9
2014-04-15,2000,337.8
2014-04-15,2500,258.7
2014-05-07,100,326.4
2014-05-07,500,318.9
2014-05-07,1000,306.6
2014-05-07,1500,283.8
2014-05-07,2000,237.1
2014-05-07,2500,199.8
2014-06-21,100,287.9
2014-06-21,500,289.5
2014-06-21,1000,294.3
2014-06-21,1500,280.0
2014-06-21,2000,169.0
2014-06-21,2500,99.8
2014-07-08,100,281.6
2014-07-08,500,281.7
2014-07-08,1000,267.0
2014-07-08,1500,239.6
2014-07-08,2000,174.2
2014-07-08,2500,120.6
